"component","iteration","target_singular_value","left_rayleigh_singular_value","right_rayleigh_singular_value","cross_singular_value","left_relative_estimate_change","right_relative_estimate_change","left_relative_residual","right_relative_residual","max_relative_residual","convergence_conditions_met","consecutive_converged_checkpoints"
2,700,102.864557553445,95.3382395800979,93.5640537803048,93.5640537803046,0.00116885988131999,0.00421328044412126,0.109352678097973,0.19566319226483,0.19566319226483,FALSE,0
2,800,102.864557553445,95.4367895897434,93.9009202028869,93.9009202028871,0.00103368816205946,0.00360038293523622,0.103466478294681,0.181604185479769,0.181604185479769,FALSE,0
2,900,102.864557553445,95.5243081540916,94.1905137729145,94.1905137729145,0.000917031730890959,0.00308403335560377,0.0980508392540029,0.168883766903693,0.168883766903693,FALSE,0
2,1000,102.864557553445,95.6022648714335,94.4400243688576,94.4400243688573,0.000816092980398342,0.00264899920330239,0.0930599540915936,0.157368222401609,0.157368222401609,FALSE,0
2,1100,102.864557553445,95.6719127085617,94.655559679523,94.655559679523,0.000728516601796663,0.00228224539442718,0.0884526099967914,0.146935557542269,0.146935557542269,FALSE,0
2,1200,102.864557553445,95.734321357075,94.8422874272718,94.8422874272717,0.000652319439911362,0.00197270766113458,0.0841917694009802,0.137474916422506,0.137474916422506,FALSE,0
2,1300,102.864557553445,95.7904054844368,95.0045676243408,95.004567624341,0.000585830938860175,0.00171105317544674,0.0802441784999082,0.128885913047203,0.128885913047203,FALSE,0
2,1400,102.864557553445,95.8409486041906,95.1460718922271,95.1460718922272,0.000527642820783436,0.00148944699633571,0.0765800036903831,0.12107791736468,0.12107791736468,FALSE,0
2,1500,102.864557553445,95.8866232108551,95.2698888045848,95.2698888045849,0.000476566721529203,0.00130133498835321,0.0731724958016166,0.1139693257919,0.1139693257919,FALSE,0
2,1600,102.864557553445,95.9280077454532,95.3786154206101,95.3786154206099,0.000431598623585348,0.00114124848249029,0.0699976815092084,0.107486837024992,0.107486837024992,FALSE,0
2,1700,102.864557553445,95.9656008818815,95.4744358748575,95.4744358748578,0.000391889056301878,0.00100463247264465,0.0670340809676016,0.101564747354294,0.101564747354294,FALSE,0
2,1800,102.864557553445,95.9998335548453,95.5591882464098,95.5591882464101,0.00035671816410492,0.000887697013087814,0.0642624504504252,0.0961442749675089,0.0961442749675089,FALSE,0
2,1900,102.864557553445,96.0310790879101,95.6344210661355,95.6344210661357,0.000325474867067764,0.000787290276384698,0.0616655486227994,0.091172919337798,0.091172919337798,FALSE,0
2,2000,102.864557553445,96.0596617255961,95.7014408205092,95.7014408205092,0.000297639451285408,0.000700791133847077,0.0592279249672317,0.0866038593761831,0.0866038593761831,FALSE,0
2,2100,102.864557553445,96.0858638260693,95.7613517320137,95.7613517320138,0.000272769027107545,0.000626018908292198,0.0569357288317672,0.0823953922961646,0.0823953922961646,FALSE,0
2,2200,102.864557553445,96.1099319303097,95.815088977736,95.8150889777363,0.000250485381324983,0.000561157969790802,0.054776537555038,0.078510413886917,0.078510413886917,FALSE,0
2,2300,102.864557553445,96.1320818889877,95.8634463736244,95.8634463736244,0.000230464825362585,0.000504694995374255,0.0527392021394979,0.0749159399758128,0.0749159399758128,FALSE,0
2,2400,102.864557553445,96.1525031989231,95.9070994167867,95.9070994167867,0.000212429706443413,0.000455366928830659,0.0508137089845564,0.0715826681832738,0.0715826681832738,FALSE,0
2,2500,102.864557553445,96.1713626762528,95.946624450541,95.946624450541,0.000196141303681138,0.000412117914050727,0.0489910562497716,0.0684845785688165,0.0684845785688165,FALSE,0
2,2600,102.864557553445,96.1888075726317,95.9825146009895,95.9825146009893,0.00018139387748589,0.000374063711506257,0.0472631434898271,0.0655985713949186,0.0655985713949186,FALSE,0
2,2700,102.864557553445,96.2049682233646,96.0151930313539,96.015193031354,0.000168009679511797,0.000340462327959017,0.0456226732835798,0.0629041399681783,0.0629041399681783,FALSE,0
