movie_id,title,intro,year,region,type,language,main_genre,all_genres
35517450,"克拉克森的农场 第二季 / Clarkson's Farm Season 2
                             / Clarkson’s Farm 2",2023-02-10(英国) / 杰里米·克拉克森 / 杰拉德·库珀 / 丽莎·霍根 / 凯勒布·库珀 / 查理·爱尔兰 / 英国 / 威尔·亚普 / 克拉克森的农场 / 45分钟 / 克拉克森的农场 / 喜剧 / 纪录片 / 真人秀 / 英语,2023,UK,Reality Show,English,Comedy,['Comedy']
34839005,"克拉克森的农场 第一季 / Clarkson's Farm Season 1
                             / 我买了一个农场 / I Bought the Farm",2021-06-11(英国) / 杰里米·克拉克森 / 凯勒布·库珀 / 查理·爱尔兰 / 杰拉德·库珀 / 丽莎·霍根 / 凯文·哈里森 / 伊伦·赫莉威尔 / 英国 / 加文·怀特海德 / 克拉克森的农场 / 45分钟 / 克拉克森的农场 / 喜剧 / 纪录片 / 真人秀 / 杰里米·克拉克森 Jeremy Clarkson / 英语,2021,UK,Reality Show,English,Comedy,['Comedy']
35699754,"核磁共振 / R.M.N.
                             / 仇恨谜林(台) / 仇恨透视(港)",2022-05-21(戛纳电影节) / 马林·格里戈利 / 朱迪思·斯泰特 / 马克里娜·巴勒迪亚努 / 马克·爱德华·布伦耶西 / József Bíró / 切拉塞拉·约西费斯库 / 安德烈·芬蒂 / 安德鲁斯·哈萨齐 / 玛丽亚·德拉格斯 / 罗马尼亚 / 法国 / 比利时 / 瑞典 / 克里斯蒂安·蒙吉 / 125分钟 / 核磁共振 / 剧情 / 克里斯蒂安·蒙吉 Cristian Mungiu / 罗马尼亚语 / 匈牙利语 / 德语 / 英语 / 法语 / 僧伽罗语,2022,France,,僧伽罗语,Drama,['Drama']
35230630,"河畔须臾 / 川っぺりムコリッタ
                             / 河畔小日子(台) / Riverside Mukolitta",2021-10-07(釜山国际电影节) / 2021-11-05(东京国际电影节) / 2022-09-16(日本) / 松山研一 / 室毅 / 满岛光 / 吉冈秀隆 / 田中美佐子 / 江口德子 / 柄本佑 / 黑田大辅 / 笹野高史 / 绪形直人 / 药师丸博子 / 日本 / 荻上直子 / 120分钟 / 河畔须臾 / 剧情 / 家庭 / 荻上直子 Naoko Ogigami / 日语,2021,Japan,,Japanese,Family,"['Drama', 'Family']"
35919112,"在公交车站直到黎明 / 夜明けまでバス停で
                             / At the Bus Stop Until Dawn",2022-10-08(日本) / 板谷由夏 / 大西礼芳 / 三浦贵大 / 松浦祐也 / 片冈礼子 / 土居志央梨 / 柄本佑 / 筒井真理子 / 下元史朗 / 根岸季衣 / 柄本明 / 福地展成 / 日本 / 高桥伴明 / 91分钟 / 在公交车站直到黎明 / 剧情 / 梶原阿贵 Aki Kajiwara / 日语,2022,Japan,,Japanese,Drama,['Drama']
35918299,"小世界 / Here
                             / 小世界",2023-02-19(柏林国际电影节) / 斯特凡·戈塔 / 龚丽悠 / 比利时 / 巴斯·德沃斯 / 82分钟 / 小世界 / 剧情 / 巴斯·德沃斯 Bas Devos / 法语 / 汉语普通话 / 罗马尼亚语,2023,,,罗马尼亚语,Drama,['Drama']
36044640,"想起所有夜晚 / すべての夜を思いだす
                             / Subete no Yoru wo Omoidasu / Remembering Every Night",2022-09-10(PIA FILM FESTIVAL) / 大场美波 / 见上爱 / 日本 / 清原惟 / 116分钟 / 想起所有夜晚 / 剧情 / 清原惟 Yui Kiyohara / 日语,2022,Japan,,Japanese,Drama,['Drama']
35322691,"毁灭的自然史 / The Natural History of Destruction
                             / 人類毀滅自然史(港)",2022-05-23(戛纳电影节) / 乌克兰 / 德国 / 谢尔盖·洛兹尼察 / 112分钟 / 毁灭的自然史 / 纪录片 / 英语,2022,Germany,Documentary,English,,[]
30214145,"RRR
                             / 双雄起义(台) / 革命双雄(港)",2022-03-25(印度) / 小老虎 / 拉姆·查兰·特哈 / 阿贾耶·德乌干 / 阿莉雅·布哈特 / 奥利维亚·莫里斯 / 施芮娅·萨兰 / 雷·史蒂文森 / 艾莉森·杜迪 / 塞缪拉卡尼 / 钱德拉·塞卡 / 马卡兰德·德斯潘德 / 拉杰夫·卡纳卡拉 / 拉胡尔·拉玛克里斯纳 / 马克·班宁顿 / Ahmareen Anjum  / 爱德华·布海克 / 印度 / S·S·拉贾穆里 / 187分钟 / 剧情 / 动作 / 冒险 / 维杰耶德拉·普拉萨德 Vijayendra Prasad / S·S·拉贾穆里 S.S. Rajamouli / 赛·马达夫·布拉 Sai Madhav Burra / 马德汉·卡尔基 Madhan Karky / 泰卢固语 / 英语,2022,,,English,1Adventure,"['Drama', 'Action', '1Adventure']"
34467461,"巴比伦 / Babylon
                             / 巴比伦：星声追梦荷里活(港)",2022-12-23(美国) / 布拉德·皮特 / 玛格特·罗比 / 迭戈·卡尔瓦 / 珍·斯马特 / 约翰·艾德坡 / 李丽君 / P·J·伯恩 / 卢卡斯·哈斯 / 奥莉维亚·汉密尔顿 / 麦克思·明格拉 / 罗里·斯卡沃 / 凯瑟琳·沃特斯顿 / 托比·马奎尔 / 弗利 / 杰夫·格尔林 / 埃里克·罗伯茨 / 伊桑·苏普利 / 萨玛拉·维文 / 奥利维亚·王尔德 / 菲比·汤金 / 斯派克·琼斯 / 詹妮弗·格兰特 / 弗雷德里克·凯勒 / 托德·吉贝哈恩 / 克洛伊·菲内曼 / 乔纳·普拉特 / 肖恩·奥布赖恩 / 鲍勃·克莱德宁 / 马科斯·A.费拉斯 / 达蒙·冈普顿 / 雷恩·哈珀 / 里安·里斯 / 米拉吉·格尔比克 / 卡莲娜·布里奇 / 布莱克叶·埃南 / 安娜·科托 / 卡罗琳娜·辛查克 / 特洛伊·梅特卡夫 / 迈克·加萨威 / 特里·沃尔特斯 / 莎拉·凯瑟琳·贝勒米 / 安娜·查泽雷 / 约翰·克里 / 伯克·弗洛伊德 / 基思·库尔 / 瑞克·萨拉比亚 / 尼克·巴加 / 雅科夫·科隆塔罗夫 / 安德鲁·霍特里 / 艾利克斯·多布兰口 / 亚历山大·陈 / 哈尔·戴恩 / Maye Harris / 凯瑟琳·霍利斯·彼得斯 / 美国 / 达米恩·查泽雷 / 188分钟 / 巴比伦 / 剧情 / 喜剧 / 历史 / 达米恩·查泽雷 Damien Chazelle / 英语 / 西班牙语 / 意大利语,2022,USA,,意大利语,Comedy,"['Drama', 'Comedy', 'History']"
